he	en
תיקון מהצ'אט	Fix from the chat
בדיקת האיות כבויה. אפשר להדליק אותה בהגדרות.	Spell check is off. You can turn it on in Settings.
המילון עוד לא הורד. בהגדרות יש כפתור להורדה (1.2 MB, פעם אחת).	The dictionary hasn't been downloaded yet. Settings has a button to download it (1.2 MB, once).
לא נמצאו מילים חשודות	No suspicious words found
אין כתובית במספר הזה	There's no subtitle with that number
חסרה המילה או התיקון	The word or the correction is missing
המילה ״{0}״ לא נמצאה בכתובית {1}	The word “{0}” wasn't found in subtitle {1}
תיקון כתיב	Spelling fix
״{0}״ הוחלפה ב״{1}״	“{0}” was replaced with “{1}”
לא צוינה מילה	No word was given
המילון לא טעון	The dictionary isn't loaded
״{0}״ נוספה למילון האישי, ולא תסומן יותר	“{0}” was added to your dictionary and won't be marked again
אין כתוביות לתרגם	No subtitles to translate
אנגלית	English
תרגום מהצ'אט	Translation from the chat
הכתוביות תורגמו ל{0}	The subtitles were translated into {0}
העיצוב עודכן	The style was updated
הנגן עבר ל-{0}	The player moved to {0}
הכתוביות נשמרו	The subtitles were saved
השמירה לא בוצעה	Nothing was saved
הפרויקט נשמר: {0}. בפעם הבאה הוא יופיע במסך הפתיחה	Project saved: {0}. Next time it will be waiting on the start screen
הפרויקט לא נשמר (אולי המשתמש ביטל את בחירת המקום)	The project wasn't saved (maybe the user cancelled choosing a place)
סומן קטע {0}	Marked the section {0}
אין סרט פתוח	No video is open
נפתח חלון יצירת הסרט	Opened the make-a-video window
צריך קודם לסמן קטע. אפשר להשתמש ב-mark_range.	Mark a section first. You can use mark_range.
נפתח חלון החיתוך	Opened the trim window
אין קובץ פתוח	No file is open
נפתח הכלי {0}	Opened the tool {0}
אין כלי בשם הזה. קרא ל-list_media_tools כדי לראות את השמות.	There's no tool by that name. Call list_media_tools to see the names.
נפתח חלון הכלים	Opened the tools window
לא נמצא קובץ בנתיב הזה	No file was found at that path
נפתח {0}	Opened {0}
לא נפתח קובץ	No file was opened
לא התקבל טקסט	No text was received
לא נוצרו כתוביות מהטקסט	No subtitles were made from the text
להחליף את הכתוביות הקיימות?	Replace the current subtitles?
הצ׳אט יצר {0} כתוביות חדשות. אפשר לבטל אחר כך ב-Ctrl+Z.	The chat made {0} new subtitles. You can undo it later with Ctrl+Z.
להחליף	Replace
לצרף	Add to them
יצירה מטקסט	Made from text
נוצרו {0} כתוביות{1}	Made {0} subtitles{1}
. התזמון הוא הערכה - המשתמש יכול ללחוץ על ״לתזמן לפי הסרט״ ולסמן כל משפט	. The timing is an estimate - the user can click “Time to the video” and mark each sentence
חלון השליפה נסגר בלי לטעון כתוביות	The extraction window was closed without loading subtitles
נשלפו כתוביות מתוך הסרט. סך הכול {0}	Subtitles were extracted from the video. {0} in total
נשמר{0}	Saved{0}
תזמון מהצ׳אט	Timing from the chat
התזמון עודכן: {0}	Timing updated: {0}
נקודת הפיצול חייבת להיות בתוך הכתובית	The split point must be inside the subtitle
פיצול מהצ׳אט	Split from the chat
הכתובית פוצלה ב-{0}	The subtitle was split at {0}
איחוד מהצ׳אט	Merge from the chat
אוחדו {0} כתוביות	Merged {0} subtitles
לא צוין מה לחפש	Nothing to search for was given
החלפה מהצ׳אט	Replace from the chat
לא נמצאו התאמות	No matches found
הוחלפו {0} מופעים ב-{1} כתוביות	Replaced {0} matches in {1} subtitles
סידור שורות	Rearrange lines
סודרו {0} כתוביות	Rearranged {0} subtitles
אין מה למחוק	Nothing to delete
למחוק את כל הכתוביות?	Delete all the subtitles?
הצ׳אט ביקש למחוק {0} כתוביות. אפשר לבטל אחר כך ב-Ctrl+Z.	The chat asked to delete {0} subtitles. You can undo it later with Ctrl+Z.
ניקוי מהצ׳אט	Clear from the chat
צריך שתי כתוביות שונות, השנייה אחרי הראשונה	Two different subtitles are needed, the second after the first
הזמן השני חייב להיות אחרי הראשון	The second time must be after the first
המתיחה יוצאת לא הגיונית	That stretch doesn't make sense
מתיחת תזמון	Stretch timing
התזמון נמתח פי {0}	The timing was stretched by {0}
מנגן	Playing
עצר	Paused
מהירות ההשמעה: {0}	Playback speed: {0}
אין מה לבטל	Nothing to undo
הפעולה האחרונה בוטלה	The last action was undone
עבר למצב כהה	Switched to dark mode
עבר למצב בהיר	Switched to light mode
נוצרה כתובית ב-{0}	Subtitle created at {0}
המשתמש הדביק טקסט ונוצרו {0} כתוביות	The user pasted text and {0} subtitles were made
החלון נפתח והמשתמש סגר אותו בלי ליצור כתוביות	The window opened and the user closed it without making subtitles
אין סרט פתוח - צריך לפתוח קודם קובץ	No video is open - open a file first
אין פס קול בקובץ הזה, אז אין מה לתמלל	This file has no audio track, so there's nothing to transcribe
התמלול הסתיים, יש עכשיו {0} כתוביות	Transcription finished, there are now {0} subtitles
המשתמש סגר את חלון האישור בלי לתמלל	The user closed the confirmation window without transcribing
אין שורות שמחכות לתזמון. קודם צריך טקסט - open_text_import או create_subtitles_from_text עם tap_later=true.	No lines are waiting to be timed. Text is needed first - open_text_import or create_subtitles_from_text with tap_later=true.
מצב התזמון התחיל. {0} שורות מחכות; המשתמש לוחץ על הכפתור הכחול בכל משפט	Timing mode started. {0} lines are waiting; the user clicks the blue button at each sentence
כל הכתוביות כבר מתוזמנות. לתזמן מחדש את כולן רק אם המשתמש ביקש - retime_all=true	All the subtitles are already timed. Retime all of them only if the user asked - retime_all=true
תזמון אוטומטי מהצ'אט	Automatic timing from the chat
לא נמצא דיבור ברור	No clear speech was found
תוזמנו {0} כתוביות לפי השתיקות בסרט. כדאי שהמשתמש יעבור ויבדוק; Ctrl+Z מבטל	Timed {0} subtitles by the pauses in the video. The user should go over them; Ctrl+Z undoes it
איתור מעברי הסצנה בוטל או נכשל	Finding the scene changes was cancelled or failed
לא נמצאו מעברי סצנה - הסרט מצולם ברצף. לא שונה כלום	No scene changes found - the video is one continuous shot. Nothing was changed
נמצאו {0} מעברי סצנה, וכל הכתוביות כבר מסודרות ביחס אליהם. לא שונה כלום	Found {0} scene changes, and all the subtitles already line up with them. Nothing was changed
הוצמדו {0} כתוביות ({1} התחלות, {2} סופים) ל-{3} מעברי סצנה. הקווים הדקים על הציר מסמנים אותם	Snapped {0} subtitles ({1} starts, {2} ends) to {3} scene changes. The thin lines on the timeline mark them

# ---- AutoTime.cs ----
פס הקול עוד לא מוכן.	The audio track isn't ready yet.
אין כתוביות לתזמן.	There are no subtitles to time.
לא נמצא דיבור ברור בקטע הזה. אולי הקול שקט מדי, או שהכתוביות מכסות את כל מה שיש.	No clear speech was found in this section. Maybe the audio is too quiet, or the subtitles already cover all of it.

# ---- CueList.cs ----
הזזת כתובית	Move subtitle
נגנו את הסרט ועצרו במקום שבו מתחיל הדיבור	Play the video and stop where the speech begins
לחצו על הכפתור הכחול שלמטה	Click the blue button below
הקלידו את מה שנאמר. ושוב.	Type what was said. And again.
איך כותבים כתוביות	How to write subtitles
טקסט	Text
התחלה	Start
שניות	Seconds
(ריק - לחצו כדי לכתוב)	(empty - click to write)

# ---- Dlg.cs ----
מתחיל...	Starting...
סגירה	Close
פתיחת התיקייה	Open the folder
יומן	Log
הפעולה הושלמה בהצלחה	Done successfully
הפעולה בוטלה	Cancelled

# ---- DlgAi.cs ----
נכנסים לדף של גוגל	Go to Google's page
הכפתור למטה פותח אותו בדפדפן. צריך חשבון גוגל רגיל.	The button below opens it in your browser. A regular Google account is enough.
לוחצים ״Create API key״	Click “Create API key”
גוגל מייצרת מחרוזת ארוכה. אין צורך בכרטיס אשראי.	Google creates a long string. No credit card is needed.
מעתיקים ומדביקים כאן	Copy it and paste it here
המפתח נשמר מוצפן במחשב שלכם בלבד.	The key is stored encrypted, on your computer only.
חיבור ל-AI	Connect to AI
מפתח חינמי מגוגל - שלוש דקות, פעם אחת	A free key from Google - three minutes, once
פתיחת הדף של גוגל להפקת מפתח	Open Google's page to create a key
לא הצלחתי לפתוח את הדפדפן	Couldn't open the browser
המפתח שקיבלתם	Your key
מדביקים כאן את המפתח	Paste the key here
בדיקת חיבור	Test the connection
בדיקה מפורטת - מה לא עובד?	Detailed check - what's not working?
השימוש חינמי במסגרת המכסה של גוגל. הכתוביות נשלחות לשרת של גוגל לצורך התרגום - אל תשתמשו בזה על תוכן רגיש.	It's free within Google's quota. The subtitles are sent to Google's server to be translated - don't use this for sensitive content.
שמירה	Save
צריך להדביק קודם את המפתח.	Paste the key first.
בודק...	Checking...
ענה במילה אחת: שלום	Answer in one word: hello
אתה עוזר בתוכנת כתוביות. ענה קצר בעברית.	You are an assistant in a subtitle program. Answer briefly in English.
החיבור עובד, והמפתח נשמר.	The connection works, and the key was saved.
החיבור עובד, אבל המפתח לא נשמר בקובץ. {0}	The connection works, but the key wasn't saved to the file. {0}
לא התקבלה תשובה.	No answer came back.
שגיאה בבדיקה: {0}	Error while checking: {0}
מה נמצא	What was found
הפרטים נשמרו גם בקובץ ai-log.txt בתיקיית ההגדרות.	The details were also saved to ai-log.txt in the settings folder.
המפתח לא נשמר	The key wasn't saved
המפתח פעיל עד שתסגרו את התוכנה, אבל הוא לא נכתב לקובץ ההגדרות, ובהפעלה הבאה הוא לא יהיה.	The key works until you close the program, but it wasn't written to the settings file, so it won't be there next time.
עברית	Hebrew
ערבית	Arabic
רוסית	Russian
צרפתית	French
ספרדית	Spanish
יידיש	Yiddish
גרמנית	German
פורטוגזית	Portuguese
אמהרית	Amharic
תרגום הכתוביות	Translate the subtitles
התזמונים נשארים בדיוק כמו שהם	The timing stays exactly as it is
לאיזו שפה לתרגם	Which language to translate into
מה לעשות עם התוצאה	What to do with the result
להחליף את הכתוביות הקיימות	Replace the current subtitles
לשמור לקובץ חדש בלי לגעת בקיימות	Save to a new file and leave the current ones alone
רקע על התוכן (לא חובה)	About the content (optional)
למשל: שיעור בהלכה · הרצאה טכנית · סרטון שיווקי	For example: a lecture · a technical talk · a promo video
יתורגמו {0} כתוביות. אפשר לבטל אחר כך ב-Ctrl+Z.	{0} subtitles will be translated. You can undo it later with Ctrl+Z.
תרגמו	Translate
מתרגם...	Translating...
השאירו את החלון פתוח	Keep this window open
מתחבר...	Connecting...
תורגמו {0} מתוך {1} כתוביות	Translated {0} of {1} subtitles

# ---- DlgChat.cs ----
תרגם את הכתוביות לאנגלית	Translate the subtitles into Spanish
תקן חפיפות וכתוביות קצרות מדי	Fix overlaps and subtitles that are too short
כל הכתוביות מאחרות בחצי שנייה	All the subtitles are half a second late
תגדיל את הכתוביות ותשים למעלה	Make the subtitles bigger and put them at the top
תכין גרסה שנכנסת ב-200 מגה	Make a version that fits in 200 MB
עוזר AI	AI assistant
שליחה (Enter)	Send (Enter)
שיחה חדשה	New conversation
המפתח של גוגל, שהעוזר עובד איתו	The Google key the assistant works with
מה לעשות? למשל: תרגם לאנגלית	What should I do? For example: translate into Spanish
שלום. אפשר לבקש ממני דברים במילים רגילות - ואני אעשה אותם בתוכנה.	Hello. You can ask me for things in plain words - and I'll do them in the program.
מבקשים במילים רגילות - והוא מבצע	Ask in plain words - and it gets done
עצרתי אחרי כמה שלבים ברצף. אפשר לבקש שוב בצורה ממוקדת יותר.	I stopped after several steps in a row. You can ask again, more specifically.
לנסות שוב	Try again

# ---- DlgEdit.cs ----
הזזת תזמון	Shift timing
מזיזים קבוצת כתוביות קדימה או אחורה	Move a group of subtitles earlier or later
על אילו כתוביות להחיל?	Which subtitles?
כל הכתוביות ({0})	All subtitles ({0})
המסומנות בלבד ({0})	Selected only ({0})
מהסמן והלאה ({0})	From the cursor on ({0})
עד הסמן	Up to the cursor
בכמה להזיז?	Shift by how much?
שניות (אפשר גם 00:00:01,250)	Seconds (00:00:01,250 works too)
להזיז	Shift
מאוחר יותר	later
מוקדם יותר	earlier
{0} כתוביות יזוזו {1} {2}.	{0} subtitles will move {1} {2}.
\nלדוגמה: הכתובית הראשונה תעבור מ-{0} ל-{1}.	\nFor example: the first subtitle will move from {0} to {1}.
לא הוזן זמן	No time entered
כתבו בכמה שניות להזיז.	Type how many seconds to shift.
לא נבחרו כתוביות להזזה.	No subtitles were chosen to shift.
טקסט לכתוביות	Text to subtitles
מדביקים טקסט חופשי - התוכנה מחלקת אותו לכתוביות	Paste any text - the program splits it into subtitles
הדביקו כאן את הטקסט. שורה ריקה בין קטעים = כתובית נפרדת.	Paste the text here. A blank line between parts = a separate subtitle.
טעינה מקובץ	Load from a file
קבצי טקסט|*.txt;*.text;*.md|כל הקבצים|*.*	Text files|*.txt;*.text;*.md|All files|*.*
נטען: {0} ({1})	Loaded: {0} ({1})
לא הצלחתי לקרוא	Couldn't read it
לתזמן אותן לפי הסרט, בלחיצה על כל משפט	Time them to the video, with a click at each sentence
אחרי היצירה יופיע כפתור גדול: מנגנים, ולוחצים עליו בכל פעם שמשפט מתחיל.	After they're made, a big button appears: play the video and click it each time a sentence begins.
אין סרט פתוח, אז התזמון יחושב לפי אורך הטקסט בלבד.	No video is open, so the timing will be based on the length of the text only.
הגדרות מתקדמות	Advanced settings
חלוקה, זיהוי חותמות זמן, קצב קריאה ונקודת התחלה	Splitting, timestamps, reading speed and start point
אוטומטי	Automatic
שורה = כתובית	Line = subtitle
פסקה (שורה ריקה) = כתובית	Paragraph (blank line) = subtitle
לזהות חותמות זמן בתחילת שורה (למשל 01:23 שלום)	Recognise timestamps at the start of a line (e.g. 01:23 Hello)
שבירת שורות ארוכות אוטומטית	Break long lines automatically
קצב קריאה (תווים בשנייה) - קובע את משך הכתובית	Reading speed (characters per second) - sets how long each subtitle stays
משך מינימלי לכתובית (שניות)	Shortest subtitle (seconds)
להתחיל מהזמן	Start at
ליצור כתוביות	Make subtitles
אין עדיין טקסט. הדביקו למעלה, או טענו קובץ.	No text yet. Paste it above, or load a file.
כל שורה ריקה מפרידה בין כתוביות	Each blank line separates subtitles
כל שורה היא כתובית	Each line is a subtitle
ייווצרו {0} כתוביות  ·  {1}\r\nהראשונה: ״{2}״	{0} subtitles will be made  ·  {1}\r\nThe first: “{2}”
אין טקסט	No text
הדביקו טקסט כדי ליצור כתוביות.	Paste some text to make subtitles.
כתוביות מתוך הסרט	Subtitles from the video
לא נמצאו ערוצי כתוביות בקובץ הזה	No subtitle tracks were found in this file
נמצא ערוץ כתוביות אחד	One subtitle track found
נמצאו {0} ערוצי כתוביות	{0} subtitle tracks found
אם הכתוביות ״צרובות״ בתוך התמונה, אי אפשר לחלץ אותן - צריך להקליד מחדש.	Subtitles “burned” into the picture can't be extracted - they have to be typed again.
אפשר גם לטעון קובץ כתוביות חיצוני מכפתור ״פתיחת קובץ״.	You can also load an outside subtitle file with the “Open file” button.
איזה ערוץ?	Which track?
״פתיחה לעריכה״ מביאה את הכתוביות לתוך התוכנה - אפשר לתרגם, לתקן תזמון ולהטמיע מחדש.	“Open for editing” brings the subtitles into the program - you can translate them, fix the timing and embed them again.
פתיחה לעריכה	Open for editing
שמירה כקובץ SRT	Save as an SRT file
החילוץ לא הצליח	The extraction failed
כתוביות תמונה	Picture subtitles
הערוץ הזה מכיל תמונות ולא טקסט (PGS/VobSub). אפשר לשמור אותו כקובץ, אבל אי אפשר לערוך את הטקסט בלי תוכנת זיהוי תווים.	This track holds pictures, not text (PGS/VobSub). You can save it as a file, but the text can't be edited without a character recognition program.
קובץ כתוביות|*{0}	Subtitle file|*{0}
נשמר	Saved
הכתוביות נשמרו אל:\n{0}	The subtitles were saved to:\n{0}
לא ניתן לעריכה	Can't be edited
הערוץ מכיל תמונות ולא טקסט, ולכן אי אפשר לפתוח אותו לעריכה. אפשר לשמור אותו כקובץ בלבד.	This track holds pictures, not text, so it can't be opened for editing. It can only be saved as a file.
ריק	Empty
לא נמצאו כתוביות בערוץ הזה.	No subtitles were found in this track.
לא הצליח	Didn't work
עיצוב הכתוביות	Subtitle style
כך ייראו הכתוביות בסרט הסופי	How the subtitles will look in the final video
גופן וגודל	Font and size
מודגש	Bold
רקע מלא במקום מתאר	Solid box instead of an outline
צבעים	Colours
צבע הטקסט	Text colour
צבע המתאר	Outline colour
עובי המתאר	Outline width
מרחק מהקצה	Distance from the edge
מיקום	Position
למטה במרכז	Bottom centre
למטה מימין	Bottom right
למטה משמאל	Bottom left
למעלה במרכז	Top centre
באמצע המסך	Middle of the screen
שמירת העיצוב	Save the style
זו דוגמה לכתובית\nבשתי שורות	This is a sample subtitle\non two lines
חיפוש והחלפה	Find and replace
מחליף בכל {0} הכתוביות בבת אחת	Replaces in all {0} subtitles at once
לחפש	Find
המילה או הביטוי שרוצים להחליף	The word or phrase to replace
להחליף ב־	Replace with
אפשר להשאיר ריק כדי למחוק	Leave it empty to delete
מילים שלמות בלבד	Whole words only
להבחין בין אותיות גדולות לקטנות (באנגלית)	Match case (for Latin letters)
כתבו למעלה מה לחפש.	Type above what to find.
לא נמצאו התאמות.	No matches found.
נמצאו {0} מופעים ב־{1} כתוביות.	Found {0} matches in {1} subtitles.
מה לחפש?	What to find?
כתבו מה רוצים להחליף.	Type what you want to replace.
לא נמצא	Not found
הביטוי הזה לא מופיע באף כתובית.	This phrase doesn't appear in any subtitle.

# ---- DlgExport.cs ----
הטמעת הכתוביות בסרט	Put the subtitles into the video
{0} כתוביות · {1}	{0} subtitles · {1}
איך להטמיע?	How to embed them?
צריבה בתמונה	Burn into the picture
הכתוביות הופכות לחלק מהפיקסלים · עובד בכל נגן ובכל טלפון	Part of the picture itself · works in every player and on every phone
ערוץ כתוביות נפרד	Separate subtitle track
אפשר לכבות/להחליף בנגן · הקידוד נשמר, מהיר מאוד	Can be turned off or switched in the player · no re-encoding, very fast
קובץ היעד	Output file
נתיב קובץ היעד	Output file path
וידאו MP4|*.mp4|Matroska MKV|*.mkv|כל הקבצים|*.*	MP4 video|*.mp4|Matroska MKV|*.mkv|All files|*.*
איכות	Quality
איכות מקסימלית - מומלץ	Highest quality - recommended
מאוזן (קובץ קטן יותר)	Balanced (smaller file)
הכי קטן (איכות סבירה)	Smallest (fair quality)
לא מוגדר	Not set
רק הקטע המסומן על הציר ({0} – {1})	Only the section marked on the timeline ({0} – {1})
לשמור גם ערוצי כתוביות שכבר קיימים בקובץ	Keep subtitle tracks that are already in the file
לסמן כערוץ ברירת המחדל	Make it the default track
התחלת ההטמעה	Start
 - עם כתוביות צרובות	 - burned subtitles
 - עם כתוביות	 - with subtitles
שפת הכתוביות	Subtitle language
הווידאו יקודד מחדש באיכות מקסימלית - לוקח זמן, והתוצאה עובדת בכל מקום כולל וואטסאפ ויוטיוב.	The video will be re-encoded at the highest quality - it takes a while, and the result works everywhere, including messaging apps and video sites.
הווידאו יקודד מחדש - זה לוקח זמן (בערך כאורך הסרט), אבל התוצאה עובדת בכל מקום.	The video will be re-encoded - it takes a while (about as long as the video), but the result works everywhere.
מהיר מאוד (שניות): הקובץ נשאר באותה איכות והכתוביות נוספות כערוץ. שימו לב שלא כל נגן מציג ערוץ כתוביות.	Very fast (seconds): the file keeps its quality and the subtitles are added as a track. Note that not every player shows subtitle tracks.
אין מה להטמיע - הרשימה ריקה.	Nothing to embed - the list is empty.
חסר קובץ יעד	No output file
בחרו לאן לשמור את הקובץ.	Choose where to save the file.
אותו קובץ	Same file
אי אפשר לכתוב על קובץ המקור. בחרו שם אחר.	The source file can't be overwritten. Choose another name.
הקובץ קיים	The file exists
כבר קיים קובץ בשם הזה. להחליף אותו?	A file with this name already exists. Replace it?
המנוע במחשב לא תומך בצריבה	The video engine on this computer can't burn subtitles
התוכנה משתמשת כרגע במנוע ffmpeg שמותקן במחשב, והוא נבנה בלי התמיכה\r\nבכתוביות ובעברית - הצריבה תצא הפוכה או ריקה.\r\n\r\nאפשר לבחור "ערוץ כתוביות נפרד" במקום, או לפתוח את התוכנה מחדש\r\nכדי שתפרוס את המנוע שלה (״על התוכנה״ מראה איזה מנוע פעיל).	The program is currently using an ffmpeg engine installed on this computer, and it was built without support\r\nfor subtitles and Hebrew - burning would come out reversed or empty.\r\n\r\nYou can choose "Separate subtitle track" instead, or restart the program\r\nso it sets up its own engine (“About” shows which engine is in use).
צורב כתוביות בווידאו	Burning subtitles into the video
מוסיף ערוץ כתוביות	Adding a subtitle track
חיתוך הסרט	Trim the video
מ־{0} עד {1}  ·  אורך הקטע {2}	From {0} to {1}  ·  section length {2}
מה לעשות עם הקטע המסומן?	What to do with the marked section?
לשמור רק את הקטע הזה	Keep only this section
כל השאר נמחק · הסרט החדש יתחיל מ־{0}	Everything else is removed · the new video starts at {0}
להסיר את הקטע הזה	Remove this section
מה שלפניו ומה שאחריו יתחברו יחד	What's before and after it is joined together
וידאו|*.mp4;*.mkv|כל הקבצים|*.*	Video|*.mp4;*.mkv|All files|*.*
חיתוך מהיר בלי קידוד מחדש (מדויק פחות בכמה עשיריות שנייה)	Fast trim without re-encoding (off by a few tenths of a second)
לעדכן גם את הכתוביות שבפרויקט לפי החיתוך	Update the subtitles in the project to match the trim too
לחתוך	Trim
 - קטע	 - clip
 - חתוך	 - trimmed
שימו לב: בחיתוך מהיר הקטע יתחיל ב־{0} במקום {1} (הפרש של {2} שניות), כי אי אפשר לחתוך באמצע בלי לקודד מחדש.\r\nלדיוק מלא - כבו את החיתוך המהיר.	Note: with a fast trim the section will start at {0} instead of {1} (a difference of {2} seconds), because it can't be cut in the middle without re-encoding.\r\nFor full accuracy, turn off fast trim.
החיתוך המהיר מעתיק את הזרם כמו שהוא - שניות בודדות, בלי איבוד איכות ובדיוק טוב בקובץ הזה.	Fast trim copies the stream as it is - a few seconds, no loss of quality, and good accuracy for this file.
קידוד מחדש: מדויק בדיוק לנקודה שסימנתם, אבל לוקח זמן בהתאם לאורך הסרט.	Re-encoding: exact to the point you marked, but it takes time depending on the length of the video.
בחרו לאן לשמור.	Choose where to save.
להחליף את הקובץ הקיים?	Replace the existing file?
חיתוך	Trim
חותך את הקטע	Trimming the section
מסיר את הקטע	Removing the section

# ---- DlgFind.cs ----
חיפוש בכתוביות	Search the subtitles
{0} כתוביות	{0} subtitles
‏Enter מוצא את הבא, ‏Shift+Enter את הקודם.	Enter finds the next one, Shift+Enter the previous one.
הקודם	Previous
הבא	Next
צריך להקליד מה לחפש.	Type what to search for.
נמצא - הכתובית מסומנת מאחורי החלון.	Found - the subtitle is selected behind this window.
לא נמצא ״{0}״ בשום כתובית.	“{0}” wasn't found in any subtitle.

# ---- DlgHelp.cs ----
פותחים סרט	Open a video
כפתור ״פתיחה״, או פשוט גוררים קובץ לחלון	The “Open” button, or just drag a file into the window
עוצרים איפה שהדיבור מתחיל	Stop where the speech begins
מקש הרווח מנגן ועוצר. אפשר להאט את ההשמעה כדי לדייק	The space bar plays and pauses. You can slow playback down to be more precise
לוחצים ״כתובית חדשה כאן״ וכותבים	Click “New subtitle here” and type
הכפתור הכחול הגדול. ואז שוב, ושוב	The big blue button. Then again, and again
יוצרים את הסרט	Make the video
הכפתור הירוק - הסרט המקורי שלכם לא משתנה	The green button - your original video isn't changed
רווח	Space
ניגון ועצירה	Play and pause
קפיצה של שתי שניות	Jump two seconds
אותו דבר, גם באמצע כתיבה	Same, while typing
Ctrl+רווח	Ctrl+Space
ניגון ועצירה באמצע כתיבה	Play/pause while typing
מהירות ההשמעה	Playback speed
כתובית חדשה כאן	New subtitle here
בתזמון בלחיצה: כאן מתחיל	Tap timing: starts here
קליק ימני ברשימה	Right-click a row
